plant,strategy,metric,col,score,pvalue,drifted
planta3,decay,ks,Nivel pozo,0.4126212293544897,0.0,1
planta3,decay,mannwhitney,Nivel pozo,0.26309999284777474,0.0,1
planta3,decay,psi,Nivel pozo,7.478897980758492,,1
planta3,decay,wasserstein,Nivel pozo,0.1568425245098037,,0
planta3,decay,ks,Energía Total Activa Bombas Elevadoras,0.7745895503767654,0.0,1
planta3,decay,mannwhitney,Energía Total Activa Bombas Elevadoras,0.1102479368989126,0.0,1
planta3,decay,psi,Energía Total Activa Bombas Elevadoras,15.796798029414077,,1
planta3,decay,wasserstein,Energía Total Activa Bombas Elevadoras,2.26953125,,0
planta3,decay,ks,Presión pozo,0.6376066669993512,0.0,1
planta3,decay,mannwhitney,Presión pozo,0.8192249396564928,0.0,1
planta3,decay,psi,Presión pozo,12.621863710932296,,1
planta3,decay,wasserstein,Presión pozo,2.1922970281862746,,0
planta3,golden,ks,Nivel pozo,0.6362512363996043,1.313062249871969e-12,1
planta3,golden,mannwhitney,Nivel pozo,0.21921364985163205,2.915110485116587e-08,1
planta3,golden,psi,Nivel pozo,,,0
planta3,golden,wasserstein,Nivel pozo,0.2380428155637255,,0
planta3,golden,ks,Energía Total Activa Bombas Elevadoras,1.0,2.247902105157321e-78,1
planta3,golden,mannwhitney,Energía Total Activa Bombas Elevadoras,0.0,1.4941125287623067e-41,1
planta3,golden,psi,Energía Total Activa Bombas Elevadoras,,,0
planta3,golden,wasserstein,Energía Total Activa Bombas Elevadoras,5.2109375,,0
planta3,golden,ks,Presión pozo,1.0,2.247902105157321e-78,1
planta3,golden,mannwhitney,Presión pozo,1.0,8.505659415941062e-23,1
planta3,golden,psi,Presión pozo,,,0
planta3,golden,wasserstein,Presión pozo,3.417538909313725,,0
planta3,seasonal,ks,Nivel pozo,0.7684918347742555,0.0,1
planta3,seasonal,mannwhitney,Nivel pozo,0.16498069150012684,0.0,1
planta3,seasonal,psi,Nivel pozo,12.677581996415743,,1
planta3,seasonal,wasserstein,Nivel pozo,0.28425398284313697,,0
planta3,seasonal,ks,Energía Total Activa Bombas Elevadoras,1.0,0.0,1
planta3,seasonal,mannwhitney,Energía Total Activa Bombas Elevadoras,0.0,0.0,1
planta3,seasonal,psi,Energía Total Activa Bombas Elevadoras,,,0
planta3,seasonal,wasserstein,Energía Total Activa Bombas Elevadoras,2.67578125,,0
planta3,seasonal,ks,Presión pozo,1.0,0.0,1
planta3,seasonal,mannwhitney,Presión pozo,1.0,0.0,1
planta3,seasonal,psi,Presión pozo,,,0
planta3,seasonal,wasserstein,Presión pozo,3.4586579350490196,,0
