plant,strategy,metric,col,score,pvalue,drifted
planta1,golden,ks,Flujo de envío a DAF,1.0,3.13587462522378e-07,1
planta1,golden,psi,Flujo de envío a DAF,,,0
planta1,golden,wasserstein,Flujo de envío a DAF,40.521750952853914,,0
planta1,golden,ks,Nivel Ecualizador 1 (Tk 30m3),1.0,3.13587462522378e-07,1
planta1,golden,psi,Nivel Ecualizador 1 (Tk 30m3),,,0
planta1,golden,wasserstein,Nivel Ecualizador 1 (Tk 30m3),31.4136765108389,,0
planta1,golden,ks,Nivel Ecualizador 2 (Tk 250m3),1.0,3.13587462522378e-07,1
planta1,golden,psi,Nivel Ecualizador 2 (Tk 250m3),,,0
planta1,golden,wasserstein,Nivel Ecualizador 2 (Tk 250m3),35.91696517771366,,0
planta1,golden,ks,Temperatura DAF,1.0,3.13587462522378e-07,1
planta1,golden,psi,Temperatura DAF,,,0
planta1,golden,wasserstein,Temperatura DAF,42.0,,0
planta1,golden,ks,pH Clarificado DAF (Tk 80m3),1.0,0.0005600672080649676,1
planta1,golden,psi,pH Clarificado DAF (Tk 80m3),,,0
planta1,golden,wasserstein,pH Clarificado DAF (Tk 80m3),36.181586676134785,,0
planta1,golden,ks,pH Ecualizador 2 (Tk 250m3),,,0
planta1,golden,psi,pH Ecualizador 2 (Tk 250m3),,,0
planta1,golden,wasserstein,pH Ecualizador 2 (Tk 250m3),,,0
planta1,golden,ks,pH coagulación entrada DAF,1.0,3.13587462522378e-07,1
planta1,golden,psi,pH coagulación entrada DAF,,,0
planta1,golden,wasserstein,pH coagulación entrada DAF,35.24670891742788,,0
planta1,golden,ks,pH entrada a Ecualizador 2 (Tk 250m3),1.0,3.13587462522378e-07,1
planta1,golden,psi,pH entrada a Ecualizador 2 (Tk 250m3),,,0
planta1,golden,wasserstein,pH entrada a Ecualizador 2 (Tk 250m3),36.94312367647448,,0
planta1,golden,ks,pH salida a Parshall 02,1.0,0.0005600672080649676,1
planta1,golden,psi,pH salida a Parshall 02,,,0
planta1,golden,wasserstein,pH salida a Parshall 02,35.88988208063404,,0
planta1,golden,ks,Nivel Clarificado DAF (Tk 80m3),0.6742296918767507,0.21262170721404883,0
planta1,golden,psi,Nivel Clarificado DAF (Tk 80m3),,,0
planta1,golden,wasserstein,Nivel Clarificado DAF (Tk 80m3),28.21086108655932,,0
planta1,golden,ks,pH entrada a Ecualizador 1,1.0,3.13587462522378e-07,1
planta1,golden,psi,pH entrada a Ecualizador 1,,,0
planta1,golden,wasserstein,pH entrada a Ecualizador 1,42.0,,0
planta1,golden,ks,Turbidez salida DAF,0.6487394957983194,0.2471508227123875,0
planta1,golden,psi,Turbidez salida DAF,,,0
planta1,golden,wasserstein,Turbidez salida DAF,387.75895186442966,,0
planta1,golden,ks,pH salida y control Ecualizador 1,1.0,3.13587462522378e-07,1
planta1,golden,psi,pH salida y control Ecualizador 1,,,0
planta1,golden,wasserstein,pH salida y control Ecualizador 1,34.430841283675505,,0
planta1,seasonal,ks,Conductividad DAF,0.935017378556015,0.0,1
planta1,seasonal,mannwhitney,Conductividad DAF,0.9559111799298269,0.0,1
