timestamp,Conductividad DAF,Flujo Parshall 01 entrada a Ecualizador 1,Flujo de envío a DAF,Nivel Ecualizador 1 (Tk 30m3),Nivel Ecualizador 2 (Tk 250m3),Temperatura DAF,pH Clarificado DAF (Tk 80m3),pH Ecualizador 2 (Tk 250m3),pH coagulación entrada DAF,pH entrada a Ecualizador 2 (Tk 250m3),pH salida a Parshall 02,Nivel Clarificado DAF (Tk 80m3),pH entrada a Ecualizador 1,Turbidez salida DAF,pH salida y control Ecualizador 1,planta1_activa
2025-02-10T19:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-10T20:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-10T21:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-10T22:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-10T23:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-11T17:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-11T18:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-11T19:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-11T20:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-11T21:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-11T22:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-11T23:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-12T01:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-12T02:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-12T03:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-12T04:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-12T05:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-12T06:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-12T07:00:00-04:00,,,,,,,,,,,,,,,,False
2025-02-25T00:00:00-04:00,,,,,,,,,,,,,,,,False
2025-05-21T06:29:00-04:00,500.0,,,,,,,,,,,,,,,False
2025-05-22T20:31:00-04:00,42.0,42.0,,,,,,,,,,,,,,True
2025-05-22T20:32:00-04:00,,,42.0,42.0,42.0,42.0,,42.0,42.0,42.0,,42.0,42.0,42.0,42.0,True
2025-05-22T20:41:00-04:00,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,True
2025-05-22T20:46:00-04:00,500.0,5.361979007720947,0.086805559694767,80.0,23.336227416992188,0.0,7.057219505310059,0.0,7.09266471862793,4.702618598937988,11.05902862548828,12.718098640441896,0.0,0.0,8.62788200378418,False
2025-05-22T20:47:00-04:00,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,False
2025-05-22T20:49:00-04:00,500.0,4.959201335906982,0.0651041641831398,80.0,23.336227416992188,0.0,7.031394958496094,0.0,7.090133190155029,4.697048187255859,11.04079818725586,12.688802719116213,0.0,1.4467592239379885,8.615728378295898,False
2025-05-22T20:50:00-04:00,500.0,4.959201335906982,0.1193576380610466,80.0,23.336227416992188,0.0,7.140263557434082,0.0,7.089626312255859,4.696542263031006,8.526747703552246,12.633462905883787,0.0,0.4340277910232544,8.599525451660156,False
2025-05-22T20:53:00-04:00,500.0,3.9522571563720703,0.1030815951526165,80.0,23.339120864868164,0.0,7.299262046813965,0.0,7.087347984313965,4.6940107345581055,8.514594554901123,12.760416984558104,0.0,1.880787014961243,10.93142318725586,False
2025-05-22T20:54:00-04:00,500.0,3.8515625,0.108506940305233,80.0,23.336227416992188,0.0,7.684100151062012,0.0,7.086588382720947,4.691478729248047,11.014467239379885,12.721353530883787,0.0,1.1574074029922483,10.92129611968994,False
2025-05-22T21:03:00-04:00,500.0,4.43055534362793,0.1193576380610466,80.0,23.31886482238769,0.0,7.551432132720947,0.0,7.084056377410889,4.686921119689941,8.646110534667969,12.672525405883787,0.0,1.1574074029922483,10.88888931274414,False
2025-05-22T21:11:00-04:00,500.0,5.462673664093018,0.173611119389534,80.0,23.34201431274414,0.0,7.003544807434082,0.0,7.084056377410889,4.681858062744141,8.575220108032227,12.685546875,0.0,1.1574074029922483,10.836226463317873,False
2025-05-22T21:12:00-04:00,500.0,5.336805820465088,0.086805559694767,80.0,23.356481552124023,0.0,7.006076812744141,0.0,7.084563255310059,4.6803388595581055,10.781538963317873,12.727865219116213,0.0,0.8680555820465088,10.838252067565918,False
2025-05-22T21:14:00-04:00,500.0,5.185763835906982,0.108506940305233,80.0,23.362268447875977,0.0,7.01063346862793,0.0,7.084056377410889,4.6803388595581055,8.950139045715332,12.698567390441896,0.0,1.591435194015503,8.840023040771484,False
2025-05-22T21:15:00-04:00,500.0,4.959201335906982,0.1627604216337204,80.0,23.32754707336425,0.0,7.012153148651123,0.0,7.084056377410889,4.6854023933410645,10.826099395751951,12.763672828674316,0.0,0.7233796119689941,8.840023040771484,False
2025-05-22T21:16:00-04:00,500.0,4.606770992279053,0.108506940305233,80.0,23.32754707336425,0.0,6.986328125,0.0,7.082537651062012,4.679831981658936,10.84027862548828,12.672525405883787,0.0,1.1574074029922483,8.846099853515625,False
2025-05-22T21:17:00-04:00,500.0,4.40538215637207,0.0759548619389534,80.0,23.313077926635746,0.0,6.963035106658936,0.0,7.083044052124023,4.679831981658936,8.858251571655273,12.672525405883787,0.0,1.1574074029922483,10.82204818725586,False
2025-05-22T21:18:00-04:00,500.0,3.9270832538604736,0.108506940305233,80.0,23.33333396911621,0.0,6.985315322875977,0.0,7.083044052124023,4.675274848937988,9.031157493591309,12.646484375,0.0,0.8680555820465088,10.813946723937988,False
2025-05-22T21:19:00-04:00,500.0,3.6501736640930176,0.0759548619389534,80.0,23.356481552124023,0.0,6.975188255310059,0.0,7.083044052124023,4.6803388595581055,10.826099395751951,12.711587905883787,0.0,0.7233796119689941,10.80381965637207,False
2025-05-22T21:20:00-04:00,500.0,3.348090171813965,0.086805559694767,80.0,23.34490776062012,0.0,7.073929309844971,0.0,7.08203125,4.674768447875977,10.809896469116213,12.646484375,0.0,0.4340277910232544,8.811666488647461,False
2025-05-22T21:21:00-04:00,500.0,2.894965171813965,0.1193576380610466,80.0,23.30729103088379,0.0,6.998987197875977,0.0,7.082537651062012,4.67881965637207,10.81597137451172,12.646484375,0.0,0.7233796119689941,10.775463104248049,False
2025-05-22T21:22:00-04:00,500.0,2.894965171813965,0.108506940305233,80.0,23.347801208496094,0.0,6.982783794403076,0.0,7.08203125,4.679831981658936,10.801794052124023,12.688802719116213,0.0,1.4467592239379885,9.035208702087402,False
2025-05-22T21:23:00-04:00,500.0,2.8697917461395264,0.0759548619389534,80.0,23.34490776062012,0.0,7.041015625,0.0,7.081524848937988,4.673755645751953,10.793692588806152,12.672525405883787,0.0,0.4340277910232544,10.753182411193848,False
2025-05-22T21:24:00-04:00,500.0,2.668402910232544,0.1193576380610466,80.0,23.34201431274414,0.0,7.064308166503906,0.0,7.080006122589111,4.677300453186035,8.801538467407227,12.672525405883787,0.0,0.8680555820465088,9.037233352661133,False
2025-05-22T21:25:00-04:00,500.0,2.542534828186035,0.108506940305233,80.0,23.33333396911621,0.0,7.074942588806152,0.0,7.08203125,4.677806854248047,9.055462837219238,12.600912094116213,0.0,0.2893518507480621,9.01697826385498,False
2025-05-22T21:26:00-04:00,500.0,2.441840171813965,0.086805559694767,80.0,23.33333396911621,0.0,6.965061187744141,0.0,7.080512523651123,4.677300453186035,10.765336036682127,12.639974594116213,0.0,0.144675925374031,10.728877067565918,False
2025-05-22T21:27:00-04:00,500.0,2.2907986640930176,0.0542534701526165,80.0,23.321760177612305,0.0,6.958477973937988,0.0,7.081524848937988,4.677806854248047,10.759259223937988,12.679037094116213,0.0,0.144675925374031,9.002800941467285,False
2025-05-22T21:28:00-04:00,500.0,2.215277671813965,0.1193576380610466,80.0,23.37962913513184,0.0,6.991391658782959,0.0,7.080512523651123,4.676287651062012,9.031157493591309,12.607421875,0.0,1.1574074029922483,10.710648536682127,False
2025-05-22T21:29:00-04:00,500.0,2.1901042461395264,0.1193576380610466,80.0,23.330440521240234,0.0,6.978226184844971,0.0,7.083044052124023,4.670211315155029,9.025080680847168,12.721353530883787,0.0,1.591435194015503,8.978494644165039,False
2025-05-22T21:46:00-04:00,500.0,6.419270992279053,0.0651041641831398,80.0,23.330440521240234,0.0,6.912905216217041,0.0,7.076461315155029,4.664641380310059,8.95418930053711,12.669270515441896,0.0,0.8680555820465088,8.90760326385498,False
2025-05-22T22:04:00-04:00,500.0,5.185763835906982,0.1627604216337204,80.0,23.34490776062012,0.0,6.878978729248047,0.0,7.074942588806152,4.667172908782959,10.03211784362793,12.679037094116213,0.0,1.012731432914734,8.838321685791016,False
2025-05-22T22:05:00-04:00,500.0,5.336805820465088,0.1410590261220932,80.0,23.32754707336425,0.0,6.857204437255859,0.0,7.076461315155029,4.670211315155029,8.78768539428711,12.636717796325684,0.0,0.7233796119689941,10.003761291503906,False
2025-05-22T22:07:00-04:00,500.0,5.361979007720947,0.0325520820915699,80.0,23.370948791503903,0.0,6.902777671813965,0.0,7.075448036193848,4.66514778137207,8.847176551818848,12.662760734558104,0.0,1.012731432914734,8.859329223632812,False
2025-05-22T22:08:00-04:00,500.0,5.412326335906982,0.1193576380610466,80.0,23.370948791503903,0.0,6.879485130310059,0.0,7.074436187744141,4.667172908782959,8.808692932128906,12.65625,0.0,0.2893518507480621,8.841099739074707,False
2025-05-22T22:09:00-04:00,500.0,5.185763835906982,0.0325520820915699,80.0,23.32754707336425,0.0,6.92100715637207,0.0,7.076461315155029,4.664641380310059,9.896411895751951,12.636717796325684,0.0,1.1574074029922483,8.808692932128906,False
2025-05-22T22:10:00-04:00,500.0,5.08506965637207,0.0651041641831398,80.0,23.35069465637207,0.0,6.894675731658936,0.0,7.076967716217041,4.664641380310059,8.813494682312012,12.623697280883787,0.0,1.012731432914734,9.88628387451172,False
2025-05-22T22:11:00-04:00,500.0,5.236111164093018,0.2278645932674408,80.0,23.35069465637207,0.0,6.870370388031006,0.0,7.075448036193848,4.670211315155029,8.807418823242188,12.731120109558104,0.0,0.8680555820465088,8.843876838684082,False
2025-05-22T22:12:00-04:00,500.0,5.966145992279053,0.0651041641831398,80.0,23.359375,0.0,6.858723640441895,0.0,7.073929309844971,4.6666669845581055,9.778935432434082,12.6953125,0.0,1.012731432914734,8.809444427490234,False
2025-05-22T22:17:00-04:00,500.0,6.46961784362793,0.0651041641831398,80.0,23.356481552124023,0.0,6.897207736968994,0.0,7.072410583496094,4.66514778137207,9.568286895751951,12.705078125,0.0,0.8680555820465088,9.643228530883787,False
2025-05-22T22:18:00-04:00,500.0,6.0416669845581055,0.086805559694767,80.0,23.36516189575196,0.0,6.891637802124023,0.0,7.07139778137207,4.667172908782959,8.911955833435059,12.636717796325684,0.0,0.0,8.70866870880127,False
