timestamp,variable,valor,etiqueta
2024-12-21T04:58:00Z,Flujo Salida de Lodo Sedimentador Secundario 3,250.3500061035156,outlier
2024-12-21T04:59:00Z,Flujo Salida de Lodo Sedimentador Secundario 3,249.05,outlier
2024-12-21T05:00:00Z,Flujo Salida de Lodo Sedimentador Secundario 3,249.05,outlier
2024-12-21T05:01:00Z,Flujo Salida de Lodo Sedimentador Secundario 3,209.0,outlier
2024-12-27T20:20:00Z,Flujo Salida de Lodo Sedimentador Secundario 3,197.1,outlier
2025-01-21T14:37:00Z,Flujo Salida de Lodo Sedimentador Secundario 3,186.5,outlier
2025-01-23T08:59:00Z,Flujo Salida de Lodo Sedimentador Secundario 3,184.05,outlier
2025-01-28T23:17:00Z,Flujo Salida de Lodo Sedimentador Secundario 3,213.7,outlier
2024-09-17T19:04:00Z,Flujo Aire Reactor 2,812.4,outlier
2024-09-18T16:43:00Z,Flujo Aire Reactor 2,597.6,outlier
2024-09-19T10:15:00Z,Flujo Aire Reactor 2,646.8,outlier
2024-09-20T02:50:00Z,Flujo Aire Reactor 2,660.0,outlier
2024-09-20T09:37:00Z,Flujo Aire Reactor 2,621.6,outlier
2024-09-20T16:49:00Z,Flujo Aire Reactor 2,594.0,outlier
2024-09-21T14:00:00Z,Flujo Aire Reactor 2,643.2,outlier
2024-09-22T14:15:00Z,Flujo Aire Reactor 2,610.8,outlier
2024-09-24T06:58:00Z,Flujo Aire Reactor 2,703.2,outlier
2024-09-27T10:17:00Z,Flujo Aire Reactor 2,655.2,outlier
2024-09-29T14:02:00Z,Flujo Aire Reactor 2,640.8,outlier
2024-10-01T09:54:00Z,Flujo Aire Reactor 2,597.6,outlier
2024-10-16T06:38:00Z,Flujo Aire Reactor 2,394.8,outlier
2024-10-17T13:04:00Z,Flujo Aire Reactor 2,402.0,outlier
2024-10-18T09:34:00Z,Flujo Aire Reactor 2,434.4,outlier
2024-10-21T02:32:00Z,Flujo Aire Reactor 2,418.8,outlier
2024-10-21T09:31:00Z,Flujo Aire Reactor 2,430.8,outlier
2024-10-21T13:03:00Z,Flujo Aire Reactor 2,435.6,outlier
2024-10-24T02:04:00Z,Flujo Aire Reactor 2,394.8,outlier
2024-10-27T06:03:00Z,Flujo Aire Reactor 2,397.2,outlier
2024-10-28T06:33:00Z,Flujo Aire Reactor 2,402.0,outlier
2024-10-28T09:32:00Z,Flujo Aire Reactor 2,405.6,outlier
2024-10-28T09:33:00Z,Flujo Aire Reactor 2,405.6,outlier
2024-10-29T21:54:00Z,Flujo Aire Reactor 2,420.0,outlier
2024-10-31T20:44:00Z,Flujo Aire Reactor 2,412.8,outlier
2024-11-02T11:38:00Z,Flujo Aire Reactor 2,403.2,outlier
2025-01-01T09:45:00Z,Flujo Aire Reactor 2,236.0,outlier
2025-01-01T09:46:00Z,Flujo Aire Reactor 2,222.0,outlier
2025-01-02T09:46:00Z,Flujo Aire Reactor 2,247.0,outlier
2024-12-14T09:10:00Z,Flujo Aire Reactor 2,220.0,outlier
2024-12-14T09:11:00Z,Flujo Aire Reactor 2,227.0,outlier
2024-12-14T09:13:00Z,Flujo Aire Reactor 2,222.0,outlier
2024-12-25T00:03:00Z,Flujo Aire Reactor 2,190.0,outlier
2024-12-28T16:12:00Z,Flujo Aire Reactor 2,198.0,outlier
2024-12-29T01:24:00Z,Flujo Aire Reactor 2,202.0,outlier
2024-12-30T00:20:00Z,Flujo Aire Reactor 2,199.0,outlier
2024-08-14T20:49:00Z,Nivel Pozo WAS,6.3,outlier
2024-11-09T04:14:00Z,Nivel Pozo WAS,4.407,outlier
2024-11-09T04:16:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T04:17:00Z,Nivel Pozo WAS,4.3845,outlier
2024-11-09T04:20:00Z,Nivel Pozo WAS,4.409,outlier
2024-11-09T04:22:00Z,Nivel Pozo WAS,4.393,outlier
2024-11-09T04:23:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T04:25:00Z,Nivel Pozo WAS,4.403,outlier
2024-11-09T04:27:00Z,Nivel Pozo WAS,4.43,outlier
2024-11-09T04:28:00Z,Nivel Pozo WAS,4.423,outlier
2024-11-09T04:32:00Z,Nivel Pozo WAS,4.372,outlier
2024-11-09T04:34:00Z,Nivel Pozo WAS,4.393,outlier
2024-11-09T04:35:00Z,Nivel Pozo WAS,4.409,outlier
2024-11-09T04:37:00Z,Nivel Pozo WAS,4.374,outlier
2024-11-09T04:38:00Z,Nivel Pozo WAS,4.396,outlier
2024-11-09T04:39:00Z,Nivel Pozo WAS,4.421,outlier
2024-11-09T04:40:00Z,Nivel Pozo WAS,4.415,outlier
2024-11-09T04:41:00Z,Nivel Pozo WAS,4.388,outlier
2024-11-09T04:42:00Z,Nivel Pozo WAS,4.372,outlier
2024-11-09T04:43:00Z,Nivel Pozo WAS,4.3885000000000005,outlier
2024-11-09T04:45:00Z,Nivel Pozo WAS,4.392,outlier
2024-11-09T04:47:00Z,Nivel Pozo WAS,4.427,outlier
2024-11-09T04:48:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T04:49:00Z,Nivel Pozo WAS,4.396,outlier
2024-11-09T04:50:00Z,Nivel Pozo WAS,4.393,outlier
2024-11-09T04:51:00Z,Nivel Pozo WAS,4.407,outlier
2024-11-09T04:52:00Z,Nivel Pozo WAS,4.393,outlier
2024-11-09T04:53:00Z,Nivel Pozo WAS,4.417,outlier
2024-11-09T04:54:00Z,Nivel Pozo WAS,4.417,outlier
2024-11-09T04:55:00Z,Nivel Pozo WAS,4.407,outlier
2024-11-09T04:58:00Z,Nivel Pozo WAS,4.393,outlier
2024-11-09T04:59:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T05:03:00Z,Nivel Pozo WAS,4.391,outlier
2024-11-09T05:05:00Z,Nivel Pozo WAS,4.407,outlier
2024-11-09T05:06:00Z,Nivel Pozo WAS,4.423,outlier
2024-11-09T05:07:00Z,Nivel Pozo WAS,4.37,outlier
2024-11-09T05:08:00Z,Nivel Pozo WAS,4.393,outlier
2024-11-09T05:11:00Z,Nivel Pozo WAS,4.39,outlier
2024-11-09T05:21:00Z,Nivel Pozo WAS,4.417,outlier
2024-11-09T05:22:00Z,Nivel Pozo WAS,4.382,outlier
2024-11-09T05:23:00Z,Nivel Pozo WAS,4.413,outlier
2024-11-09T05:28:00Z,Nivel Pozo WAS,4.419,outlier
2024-11-09T05:30:00Z,Nivel Pozo WAS,4.382,outlier
2024-11-09T05:33:00Z,Nivel Pozo WAS,4.362,outlier
2024-11-09T05:34:00Z,Nivel Pozo WAS,4.384,outlier
2024-11-09T05:35:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T05:36:00Z,Nivel Pozo WAS,4.403,outlier
2024-11-09T05:38:00Z,Nivel Pozo WAS,4.38,outlier
2024-11-09T05:39:00Z,Nivel Pozo WAS,4.364,outlier
2024-11-09T05:42:00Z,Nivel Pozo WAS,4.362,outlier
2024-11-09T05:44:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T05:48:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T05:49:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T05:56:00Z,Nivel Pozo WAS,4.396,outlier
2024-11-09T06:01:00Z,Nivel Pozo WAS,4.384,outlier
2024-11-09T06:03:00Z,Nivel Pozo WAS,4.421,outlier
2024-11-09T06:04:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T06:05:00Z,Nivel Pozo WAS,4.39,outlier
2024-11-09T06:06:00Z,Nivel Pozo WAS,4.388,outlier
2024-11-09T06:08:00Z,Nivel Pozo WAS,4.384,outlier
2024-11-09T06:09:00Z,Nivel Pozo WAS,4.368,outlier
2024-11-09T06:13:00Z,Nivel Pozo WAS,4.39,outlier
2024-11-09T06:15:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T06:16:00Z,Nivel Pozo WAS,4.393,outlier
2024-11-09T06:17:00Z,Nivel Pozo WAS,4.362,outlier
2024-11-09T06:18:00Z,Nivel Pozo WAS,4.366,outlier
2024-11-09T06:21:00Z,Nivel Pozo WAS,4.384,outlier
2024-11-09T06:22:00Z,Nivel Pozo WAS,4.397,outlier
2024-11-09T06:24:00Z,Nivel Pozo WAS,4.382,outlier
2024-11-09T06:26:00Z,Nivel Pozo WAS,4.374,outlier
2024-11-09T06:29:00Z,Nivel Pozo WAS,4.401,outlier
2024-11-09T06:30:00Z,Nivel Pozo WAS,4.37,outlier
2024-11-09T06:34:00Z,Nivel Pozo WAS,4.39,outlier
2024-11-09T06:36:00Z,Nivel Pozo WAS,4.38,outlier
2024-11-09T06:37:00Z,Nivel Pozo WAS,4.368,outlier
2024-11-09T06:39:00Z,Nivel Pozo WAS,4.384,outlier
2024-11-09T06:40:00Z,Nivel Pozo WAS,4.407,outlier
2024-11-09T06:41:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T06:42:00Z,Nivel Pozo WAS,4.366,outlier
2024-11-09T06:43:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T06:44:00Z,Nivel Pozo WAS,4.403,outlier
2024-11-09T06:45:00Z,Nivel Pozo WAS,4.385,outlier
2024-11-09T06:46:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T06:47:00Z,Nivel Pozo WAS,4.411,outlier
2024-11-09T06:49:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T06:50:00Z,Nivel Pozo WAS,4.393,outlier
