timestamp,Nivel Clarificado DAF (Tk 80m3),Nivel Ecualizador 2 (Tk 250m3),pH Ecualizador 2 (Tk 250m3),planta1_activa
2025-05-21T06:29:00-04:00,,,,False
2025-05-22T20:31:00-04:00,,,,True
2025-05-22T20:32:00-04:00,42.0,42.0,42.0,True
2025-05-22T20:41:00-04:00,42.0,42.0,42.0,True
2025-05-22T20:46:00-04:00,12.718098640441896,23.336227416992188,0.0,False
2025-05-22T20:47:00-04:00,42.0,42.0,42.0,False
2025-05-22T20:49:00-04:00,12.688802719116213,23.336227416992188,0.0,False
2025-05-22T20:50:00-04:00,12.633462905883787,23.336227416992188,0.0,False
2025-05-22T20:53:00-04:00,12.760416984558104,23.339120864868164,0.0,False
2025-05-22T20:54:00-04:00,12.721353530883787,23.336227416992188,0.0,False
2025-05-22T21:03:00-04:00,12.672525405883787,23.31886482238769,0.0,False
2025-05-22T21:11:00-04:00,12.685546875,23.34201431274414,0.0,False
2025-05-22T21:12:00-04:00,12.727865219116213,23.356481552124023,0.0,False
2025-05-22T21:14:00-04:00,12.698567390441896,23.362268447875977,0.0,False
2025-05-22T21:15:00-04:00,12.763672828674316,23.32754707336425,0.0,False
2025-05-22T21:16:00-04:00,12.672525405883787,23.32754707336425,0.0,False
2025-05-22T21:17:00-04:00,12.672525405883787,23.313077926635746,0.0,False
2025-05-22T21:18:00-04:00,12.646484375,23.33333396911621,0.0,False
2025-05-22T21:19:00-04:00,12.711587905883787,23.356481552124023,0.0,False
2025-05-22T21:20:00-04:00,12.646484375,23.34490776062012,0.0,False
2025-05-22T21:21:00-04:00,12.646484375,23.30729103088379,0.0,False
2025-05-22T21:22:00-04:00,12.688802719116213,23.347801208496094,0.0,False
2025-05-22T21:23:00-04:00,12.672525405883787,23.34490776062012,0.0,False
2025-05-22T21:24:00-04:00,12.672525405883787,23.34201431274414,0.0,False
2025-05-22T21:25:00-04:00,12.600912094116213,23.33333396911621,0.0,False
2025-05-22T21:26:00-04:00,12.639974594116213,23.33333396911621,0.0,False
2025-05-22T21:27:00-04:00,12.679037094116213,23.321760177612305,0.0,False
2025-05-22T21:28:00-04:00,12.607421875,23.37962913513184,0.0,False
2025-05-22T21:29:00-04:00,12.721353530883787,23.330440521240234,0.0,False
2025-05-22T21:46:00-04:00,12.669270515441896,23.330440521240234,0.0,False
2025-05-22T22:04:00-04:00,12.679037094116213,23.34490776062012,0.0,False
2025-05-22T22:05:00-04:00,12.636717796325684,23.32754707336425,0.0,False
2025-05-22T22:07:00-04:00,12.662760734558104,23.370948791503903,0.0,False
2025-05-22T22:08:00-04:00,12.65625,23.370948791503903,0.0,False
2025-05-22T22:09:00-04:00,12.636717796325684,23.32754707336425,0.0,False
