timestamp,Conductividad DAF,Flujo Parshall 01 entrada a Ecualizador 1,Flujo de envío a DAF,Nivel Clarificado DAF (Tk 80m3),Nivel Ecualizador 1 (Tk 30m3),Nivel Ecualizador 2 (Tk 250m3),Temperatura DAF,Turbidez salida DAF,pH Clarificado DAF (Tk 80m3),pH Ecualizador 2 (Tk 250m3),pH coagulación entrada DAF,pH entrada a Ecualizador 1,pH entrada a Ecualizador 2 (Tk 250m3),pH salida a Parshall 02,pH salida y control Ecualizador 1,planta1_activa
2025-05-21 10:29:00+00:00,,,,,,,,,,,,,,,,0.0
2025-05-23 00:31:00+00:00,,,,,,,,,,,,,,,,1.0
2025-05-23 00:32:00+00:00,,,,42.0,,42.0,42.0,42.0,,42.0,,,,,,1.0
2025-05-23 00:41:00+00:00,,,,42.0,,42.0,42.0,42.0,,42.0,,,,,,1.0
2025-05-23 00:46:00+00:00,,5.361979007720947,0.086805559694767,12.718098640441896,80.0,23.336227416992188,,0.0,7.057219505310059,0.0,7.09266471862793,,4.702618598937988,11.05902862548828,8.62788200378418,0.0
2025-05-23 00:47:00+00:00,,,,42.0,,42.0,42.0,42.0,,42.0,,,,,,0.0
2025-05-23 00:49:00+00:00,,4.959201335906982,0.0651041641831398,12.688802719116213,80.0,23.336227416992188,,1.4467592239379885,7.031394958496094,0.0,7.090133190155029,,4.697048187255859,11.04079818725586,8.615728378295898,0.0
2025-05-23 00:50:00+00:00,,4.959201335906982,0.1193576380610466,12.633462905883787,80.0,23.336227416992188,,0.4340277910232544,7.140263557434082,0.0,7.089626312255859,,4.696542263031006,8.526747703552246,8.599525451660156,0.0
2025-05-23 00:53:00+00:00,,3.9522571563720703,0.1030815951526165,12.760416984558104,80.0,23.339120864868164,,1.880787014961243,7.299262046813965,0.0,7.087347984313965,,4.6940107345581055,8.514594554901123,10.93142318725586,0.0
2025-05-23 00:54:00+00:00,,3.8515625,0.108506940305233,12.721353530883787,80.0,23.336227416992188,,1.1574074029922483,7.684100151062012,0.0,7.086588382720947,,4.691478729248047,11.014467239379885,10.92129611968994,0.0
2025-05-23 01:03:00+00:00,,4.43055534362793,0.1193576380610466,12.672525405883787,80.0,23.31886482238769,,1.1574074029922483,7.551432132720947,0.0,7.084056377410889,,4.686921119689941,8.646110534667969,10.88888931274414,0.0
2025-05-23 01:11:00+00:00,,5.462673664093018,0.173611119389534,12.685546875,80.0,23.34201431274414,,1.1574074029922483,7.003544807434082,0.0,7.084056377410889,,4.681858062744141,8.575220108032227,10.836226463317873,0.0
2025-05-23 01:12:00+00:00,,5.336805820465088,0.086805559694767,12.727865219116213,80.0,23.356481552124023,,0.8680555820465088,7.006076812744141,0.0,7.084563255310059,,4.6803388595581055,10.781538963317873,10.838252067565918,0.0
2025-05-23 01:14:00+00:00,,5.185763835906982,0.108506940305233,12.698567390441896,80.0,23.362268447875977,,1.591435194015503,7.01063346862793,0.0,7.084056377410889,,4.6803388595581055,8.950139045715332,8.840023040771484,0.0
2025-05-23 01:15:00+00:00,,4.959201335906982,0.1627604216337204,12.763672828674316,80.0,23.32754707336425,,0.7233796119689941,7.012153148651123,0.0,7.084056377410889,,4.6854023933410645,10.826099395751951,8.840023040771484,0.0
2025-05-23 01:16:00+00:00,,4.606770992279053,0.108506940305233,12.672525405883787,80.0,23.32754707336425,,1.1574074029922483,6.986328125,0.0,7.082537651062012,,4.679831981658936,10.84027862548828,8.846099853515625,0.0
2025-05-23 01:17:00+00:00,,4.40538215637207,0.0759548619389534,12.672525405883787,80.0,23.313077926635746,,1.1574074029922483,6.963035106658936,0.0,7.083044052124023,,4.679831981658936,8.858251571655273,10.82204818725586,0.0
2025-05-23 01:18:00+00:00,,3.9270832538604736,0.108506940305233,12.646484375,80.0,23.33333396911621,,0.8680555820465088,6.985315322875977,0.0,7.083044052124023,,4.675274848937988,9.031157493591309,10.813946723937988,0.0
2025-05-23 01:19:00+00:00,,3.6501736640930176,0.0759548619389534,12.711587905883787,80.0,23.356481552124023,,0.7233796119689941,6.975188255310059,0.0,7.083044052124023,,4.6803388595581055,10.826099395751951,10.80381965637207,0.0
2025-05-23 01:20:00+00:00,,3.348090171813965,0.086805559694767,12.646484375,80.0,23.34490776062012,,0.4340277910232544,7.073929309844971,0.0,7.08203125,,4.674768447875977,10.809896469116213,8.811666488647461,0.0
2025-05-23 01:21:00+00:00,,2.894965171813965,0.1193576380610466,12.646484375,80.0,23.30729103088379,,0.7233796119689941,6.998987197875977,0.0,7.082537651062012,,4.67881965637207,10.81597137451172,10.775463104248049,0.0
2025-05-23 01:22:00+00:00,,2.894965171813965,0.108506940305233,12.688802719116213,80.0,23.347801208496094,,1.4467592239379885,6.982783794403076,0.0,7.08203125,,4.679831981658936,10.801794052124023,9.035208702087402,0.0
2025-05-23 01:23:00+00:00,,2.8697917461395264,0.0759548619389534,12.672525405883787,80.0,23.34490776062012,,0.4340277910232544,7.041015625,0.0,7.081524848937988,,4.673755645751953,10.793692588806152,10.753182411193848,0.0
2025-05-23 01:24:00+00:00,,2.668402910232544,0.1193576380610466,12.672525405883787,80.0,23.34201431274414,,0.8680555820465088,7.064308166503906,0.0,7.080006122589111,,4.677300453186035,8.801538467407227,9.037233352661133,0.0
2025-05-23 01:25:00+00:00,,2.542534828186035,0.108506940305233,12.600912094116213,80.0,23.33333396911621,,0.2893518507480621,7.074942588806152,0.0,7.08203125,,4.677806854248047,9.055462837219238,9.01697826385498,0.0
2025-05-23 01:26:00+00:00,,2.441840171813965,0.086805559694767,12.639974594116213,80.0,23.33333396911621,,0.144675925374031,6.965061187744141,0.0,7.080512523651123,,4.677300453186035,10.765336036682127,10.728877067565918,0.0
2025-05-23 01:27:00+00:00,,2.2907986640930176,0.0542534701526165,12.679037094116213,80.0,23.321760177612305,,0.144675925374031,6.958477973937988,0.0,7.081524848937988,,4.677806854248047,10.759259223937988,9.002800941467285,0.0
