timestamp,Flujo Aire Reactor 1,Flujo Aire Reactor 3,OD Reactor 1,OD Reactor 2,test
2024-08-12T16:32:00-04:00,,,,0.0,
2024-08-12T16:33:00-04:00,,,,0.0,
2024-08-12T16:34:00-04:00,,,,0.0,
2024-08-12T16:35:00-04:00,,,,0.0,
2024-08-12T16:36:00-04:00,,,,0.0,
2024-08-12T16:37:00-04:00,,,,0.0,
2024-08-12T16:38:00-04:00,,,,0.0,
2024-08-12T16:39:00-04:00,,,,0.0,
2024-08-12T16:40:00-04:00,,,,0.0,
2024-08-12T16:41:00-04:00,,,,0.0,
2024-08-12T16:42:00-04:00,,,,0.0,
2024-08-12T16:43:00-04:00,,,,0.0,
2024-08-12T16:44:00-04:00,,,,0.0,
2024-08-12T16:45:00-04:00,,,,0.0,
2024-08-12T16:46:00-04:00,,,,0.0,
2024-08-12T16:47:00-04:00,,,,0.0,
2024-08-12T16:48:00-04:00,,,,0.0,
2024-08-12T16:49:00-04:00,,,,0.0,
2024-08-12T16:50:00-04:00,,,,0.0,
2024-08-12T16:51:00-04:00,,,,0.0,
2024-08-12T16:52:00-04:00,,,,0.0,
2024-08-12T16:53:00-04:00,,,,0.0,
2024-08-12T16:54:00-04:00,,,,0.0,
2024-08-12T16:55:00-04:00,,,,0.0,
2024-08-12T16:56:00-04:00,,,,0.0,
2024-08-12T16:57:00-04:00,,,,0.0,
2024-08-12T16:58:00-04:00,,,,0.0,
2024-08-12T16:59:00-04:00,,,,0.0,
2024-08-12T17:00:00-04:00,,,,0.0,
2024-08-12T17:01:00-04:00,,,,0.0,
2024-08-12T17:02:00-04:00,,,,0.0,
2024-08-12T17:03:00-04:00,,,,0.0,
2024-08-12T17:04:00-04:00,,,,0.0,
2024-08-12T17:05:00-04:00,,,,0.0,
2024-08-12T17:06:00-04:00,,,,0.0,
2024-08-12T17:07:00-04:00,,8504.4,0.42,0.0,
2024-08-12T17:08:00-04:00,,8642.4,1.214,0.0,
2024-08-12T17:09:00-04:00,,,0.304,0.0,
2024-08-12T17:10:00-04:00,,,1.228,0.0,
2024-08-12T17:11:00-04:00,,,0.354,0.0,
2024-08-12T17:12:00-04:00,,,1.312,,
2024-08-12T17:13:00-04:00,,,0.394,,
2024-08-12T17:14:00-04:00,,,1.408,,
2024-08-12T17:15:00-04:00,,,0.548,,
2024-08-12T17:16:00-04:00,,,1.468,,
2024-08-12T17:17:00-04:00,,,0.584,,
2024-08-12T17:18:00-04:00,,,1.284,,
2024-08-12T17:19:00-04:00,,,0.558,,
2024-08-12T17:20:00-04:00,,,1.464,,
2024-08-12T17:21:00-04:00,,,0.572,,
2024-08-12T17:22:00-04:00,,,1.502,,
2024-08-12T17:23:00-04:00,,,,,
2024-08-12T17:24:00-04:00,,,1.534,,
2024-08-12T17:25:00-04:00,,,0.566,,
2024-08-12T17:26:00-04:00,,,1.222,,
2024-08-12T17:27:00-04:00,,,0.618,,
2024-08-12T17:28:00-04:00,,,1.54,,
2024-08-12T17:29:00-04:00,,,0.582,,
2024-08-12T17:30:00-04:00,,,1.596,,
2024-08-12T17:31:00-04:00,,,0.574,,
2024-08-12T17:32:00-04:00,,,1.446,,
2024-08-12T17:33:00-04:00,,,0.572,,
2024-08-12T17:34:00-04:00,,,1.58,,
2024-08-12T17:35:00-04:00,,,0.602,,
2024-08-12T17:36:00-04:00,,,1.52,,
2024-08-12T17:37:00-04:00,,,0.638,,
2024-08-12T17:38:00-04:00,,,1.572,,
2024-08-12T17:39:00-04:00,,,0.652,,
2024-08-12T17:40:00-04:00,,,1.484,,
2024-08-12T17:41:00-04:00,,,0.626,,
2024-08-12T17:42:00-04:00,,,1.528,,
2024-08-12T17:43:00-04:00,,,0.772,,
2024-08-12T17:44:00-04:00,,,1.64,,
2024-08-12T17:45:00-04:00,,,0.756,,
2024-08-12T17:46:00-04:00,,,1.636,,
2024-08-12T17:47:00-04:00,,,0.77,,
2024-08-12T17:48:00-04:00,,,1.61,,
2024-08-12T17:49:00-04:00,,,0.696,,
2024-08-12T17:50:00-04:00,,,1.418,,
2024-08-12T17:51:00-04:00,,,0.64,,
2024-08-12T17:52:00-04:00,,,1.466,,
2024-08-12T17:53:00-04:00,,,0.776,,
2024-08-12T17:54:00-04:00,,,1.698,,
2024-08-12T17:55:00-04:00,,,0.794,,
2024-08-12T17:56:00-04:00,,,1.564,,
2024-08-12T17:57:00-04:00,,,0.836,,
2024-08-12T17:58:00-04:00,,,1.812,,
2024-08-12T17:59:00-04:00,,,0.902,,
2024-08-12T18:00:00-04:00,,,1.762,,
2024-08-12T18:01:00-04:00,,,0.864,,
2024-08-12T18:02:00-04:00,,,1.65,,
2024-08-12T18:03:00-04:00,,,0.862,,
2024-08-12T18:04:00-04:00,,,1.682,,
2024-08-12T18:05:00-04:00,,,0.842,,
2024-08-12T18:06:00-04:00,,,1.656,,
2024-08-12T18:07:00-04:00,,,0.798,,
2024-08-12T18:08:00-04:00,,,1.568,,
2024-08-12T18:09:00-04:00,,,0.75,,
2024-08-12T18:10:00-04:00,,,1.65,,
2024-08-12T18:11:00-04:00,,,0.652,,
2024-08-12T18:21:00-04:00,,,,,
2024-08-12T18:28:00-04:00,,,,,
2024-08-12T18:32:00-04:00,,,,0.0,
2024-08-12T18:40:00-04:00,,,,,
2024-08-12T18:43:00-04:00,,,1.428,,
2024-08-12T18:44:00-04:00,,,1.712,,
2024-08-12T18:45:00-04:00,,,,0.0,
2024-08-12T18:51:00-04:00,,,,,
2024-08-12T18:54:00-04:00,,,,,
2024-08-12T18:55:00-04:00,,,1.076,,
2024-08-12T18:57:00-04:00,,,,,
2024-08-12T18:59:00-04:00,,,,,
2024-08-12T19:00:00-04:00,,,1.525,,
2024-08-12T19:01:00-04:00,,,,,
2024-08-12T19:08:00-04:00,,,,,
2024-08-12T19:12:00-04:00,,,1.882,,
2024-08-12T19:14:00-04:00,,,,,
2024-08-12T19:16:00-04:00,,,1.58,,
2024-08-12T19:26:00-04:00,,,,,
2024-08-12T19:29:00-04:00,,,0.696,,
2024-08-12T19:31:00-04:00,,,1.706,,
2024-08-12T19:32:00-04:00,,,1.96,,
2024-08-12T19:38:00-04:00,,,,,
2024-08-12T19:43:00-04:00,,,,,
2024-08-12T19:44:00-04:00,,,1.31,,
