col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric
Flujo Afluente PTAR,numeric,0.13383494565118276,0.15,ks,False,,,,,,,planta2,decay,ks
Flujo Aire Reactor 2,numeric,0.7040096947429266,0.15,ks,True,,,,,,,planta2,decay,ks
Flujo Aire Reactor 3,numeric,0.14355458995105386,0.15,ks,False,,,,,,,planta2,decay,ks
Flujo Alimentación Digestor 1,numeric,0.07569563338344376,0.15,ks,False,,,,,,,planta2,decay,ks
Flujo Alimentación Digestor 2,numeric,0.02065799643781295,0.15,ks,False,,,,,,,planta2,decay,ks
Flujo Alimentación Digestor 3,numeric,0.03720458788757253,0.15,ks,False,,,,,,,planta2,decay,ks
Flujo Cámara de contacto 1,numeric,0.19003476965443378,0.15,ks,True,,,,,,,planta2,decay,ks
Flujo Cámara de contacto 2,numeric,0.1877467401350783,0.15,ks,True,,,,,,,planta2,decay,ks
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,0.7483098026497794,0.15,ks,True,,,,,,,planta2,decay,ks
Nivel Pozo WAS,numeric,0.7946387612898909,0.15,ks,True,,,,,,,planta2,decay,ks
Flujo Afluente PTAR,numeric,0.45730411291751777,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Aire Reactor 2,numeric,0.21344745574213955,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Aire Reactor 3,numeric,0.48828175531737783,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Alimentación Digestor 1,numeric,0.5295857037211371,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Alimentación Digestor 2,numeric,0.4896342037167725,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Alimentación Digestor 3,numeric,0.4962620878585073,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Cámara de contacto 1,numeric,0.5100932710100946,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Cámara de contacto 2,numeric,0.52882825732616,0.55,mannwhitney,False,,,,,,,planta2,decay,mannwhitney
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,0.8732675119501503,0.55,mannwhitney,True,,,,,,,planta2,decay,mannwhitney
Nivel Pozo WAS,numeric,0.8857511264184015,0.55,mannwhitney,True,,,,,,,planta2,decay,mannwhitney
Flujo Afluente PTAR,numeric,1.8957262398551034,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Aire Reactor 2,numeric,3.2161160028717006,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Aire Reactor 3,numeric,0.3113890494033683,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Alimentación Digestor 1,numeric,0.1391250512312175,0.2,psi,False,,,,,,,planta2,decay,psi
Flujo Alimentación Digestor 2,numeric,7.95189759299054e-05,0.2,psi,False,,,,,,,planta2,decay,psi
Flujo Alimentación Digestor 3,numeric,0.011254217532206926,0.2,psi,False,,,,,,,planta2,decay,psi
Flujo Cámara de contacto 1,numeric,1.7483881624445314,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Cámara de contacto 2,numeric,1.6684729967322651,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,9.242441071339416,0.2,psi,True,,,,,,,planta2,decay,psi
Nivel Pozo WAS,numeric,5.860370490053841,0.2,psi,True,,,,,,,planta2,decay,psi
Flujo Afluente PTAR,numeric,250.61768367859085,487.10743716479266,wasserstein,False,,,,,,,planta2,decay,wasserstein
Flujo Aire Reactor 2,numeric,546.4028213791415,59.222090968884835,wasserstein,True,,,,,,,planta2,decay,wasserstein
Flujo Aire Reactor 3,numeric,136.19584928800543,1128.0285931614806,wasserstein,False,,,,,,,planta2,decay,wasserstein
Flujo Alimentación Digestor 1,numeric,0.10330124530965554,3.266309093793401,wasserstein,False,,,,,,,planta2,decay,wasserstein
Flujo Alimentación Digestor 2,numeric,0.001412153810464035,0.00808175904731686,wasserstein,False,,,,,,,planta2,decay,wasserstein
Flujo Alimentación Digestor 3,numeric,0.09783241126009205,3.2719560712553757,wasserstein,False,,,,,,,planta2,decay,wasserstein
Flujo Cámara de contacto 1,numeric,154.9634125265257,251.88192112225792,wasserstein,False,,,,,,,planta2,decay,wasserstein
