col,type,drift_detected,psi,method,threshold,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,ref_std,cur_std,ref_median,cur_median,ref_min,ref_max,cur_min,cur_max,ref_n_distinct,cur_n_distinct,ref_top,ref_top_freq,cur_top,cur_top_freq
Flujo Afluente PTAR,numeric,True,1.8957262398551034,PSI-quantiles,0.2,32988,3484,8.777169404347104,4.860731840524304,3110.0624484897917,3225.804585821456,974.2148743295853,740.1192355751891,3192.699951171875,3393.25,0.0,5005.69970703125,1719.199951171875,4430.2998046875,,,,,,
Flujo Aire Reactor 2,numeric,True,3.2161160028717006,PSI-quantiles,0.2,32408,3226,10.381062994303413,11.90606226105953,225.10929400148112,739.8946321554039,118.44418193776967,604.1210452194447,210.0,645.25,-3.0,907.0,-2.0,2379.0,,,,,,
Flujo Aire Reactor 3,numeric,True,0.3113890494033683,PSI-quantiles,0.2,33370,3384,7.720811901996571,7.591480065537957,7618.304962041753,7627.777482269504,2256.057186322961,2260.95759159509,8245.0,8240.5,0.0,9004.0,0.0,9005.0,,,,,,
Flujo Alimentación Digestor 1,numeric,False,0.1391250512312175,PSI-quantiles,0.2,15486,1559,57.176041148166576,57.42763517203714,9.830406686272434,9.795906966871739,6.532618187586803,6.579354447529174,14.37600040435791,14.361000061035156,-0.2249999940395355,16.2239990234375,-0.114000003086403,15.083999633789062,,,,,,
Flujo Alimentación Digestor 2,numeric,False,7.95189759299054e-05,PSI-quantiles,0.2,5668,525,84.32608815884078,85.66357181867832,0.0033127029234807336,0.0044047619708414264,0.01616351809463372,0.018698937760942523,0.003000000026077,0.003000000026077,-0.309000015258789,0.4050000011920929,-0.19200000166893,0.2040000006090849,,,,,,
Flujo Alimentación Digestor 3,numeric,False,0.011254217532206926,PSI-quantiles,0.2,32173,3275,11.030916431613296,10.56799563080284,4.883038322362451,4.957220571843371,6.543912142510751,6.556756085827841,0.0732000023126602,0.0732000023126602,0.0,26.6692008972168,0.0,16.433399200439453,,,,,,
Flujo Cámara de contacto 1,numeric,True,1.7483881624445314,PSI-quantiles,0.2,33872,3479,6.33261434655163,4.997269251774986,1874.6257245387078,1859.4436973373677,503.76384224451584,314.8314897534576,1894.0,1939.5,514.0,2972.5,890.5,2424.0,,,,,,
Flujo Cámara de contacto 2,numeric,True,1.6684729967322651,PSI-quantiles,0.2,33856,3481,6.376859686964216,4.9426542872747135,1830.6086793390548,1789.539882932782,533.8255685871377,343.7356762553063,1846.875,1828.0,407.5,3000.0,824.0,2414.0,,,,,,
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,True,9.242441071339416,PSI-quantiles,0.2,33445,3438,7.5134118688125655,6.116876024030585,136.85300947183535,120.05116218565414,11.243429057750541,1.5796647411476836,141.85000610351562,120.0,58.59999847412109,212.25,78.30000305175781,124.9000015258789,,,,,,
Nivel Pozo WAS,numeric,True,5.860370490053841,PSI-quantiles,0.2,33503,3447,7.3530225098169355,5.871108683779355,2.6615883893416297,2.3151784137535483,0.24142928578848702,0.12906580540743168,2.6405999660491943,2.322000026702881,1.8899999856948853,3.738600015640259,2.0543999671936035,4.475399971008301,,,,,,
OD Reactor 2,categorical,False,0.0,PSI-categorical,0.2,36162,3662,0.0,0.0,,,,,,,,,,,1.0,1.0,True,36162.0,True,3662.0
