col,type,drift_detected,psi,method,threshold,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,ref_std,cur_std,ref_median,cur_median,ref_min,ref_max,cur_min,cur_max,ref_n_distinct,cur_n_distinct,ref_top,ref_top_freq,cur_top,cur_top_freq
Conductividad DAF,numeric,True,1.3024964501786003,PSI-quantiles,0.2,1102,3570,0.18115942028985507,0.27932960893854747,251.39586471061867,0.928966146126306,250.07489344939125,3.9945763913765706,500.0,0.0954861119389534,0.0,500.0,0.0057870373129844,20.0,,,,,,
Flujo Parshall 01 entrada a Ecualizador 1,numeric,True,1.676273011518667,PSI-quantiles,0.2,1102,3570,0.18115942028985507,0.27932960893854747,3.969606633086819,4.888165267191681,3.012500463595131,2.5288718716380894,3.5243053436279297,4.480902671813965,0.780381977558136,14.348958015441896,0.8810763359069824,20.86892318725586,,,,,,
Flujo de envío a DAF,numeric,True,0.5188462588565835,PSI-quantiles,0.2,1102,3570,0.18115942028985507,0.27932960893854747,0.0910936468289303,1.455138913636469,0.033548073646263415,2.6575908778923893,0.086805559694767,0.1193576380610466,0.0,0.217013880610466,0.0,12.337239265441896,,,,,,
Nivel Clarificado DAF (Tk 80m3),numeric,True,7.429764307620435,PSI-quantiles,0.2,1102,3570,0.18115942028985507,0.27932960893854747,16.622564820320253,32.29810319634328,17.839220993392203,29.053881421683375,12.6171875,18.024089813232425,0.0,90.0,0.0,90.0,,,,,,
Nivel Ecualizador 1 (Tk 30m3),numeric,False,0.0,PSI-quantiles,0.2,1102,3570,0.18115942028985507,0.27932960893854747,80.0,73.41855674765023,0.0,4.9735959745627945,80.0,71.84027862548828,80.0,80.0,64.58333587646484,80.0,,,,,,
Nivel Ecualizador 2 (Tk 250m3),numeric,True,inf,PSI-quantiles,0.2,1102,3570,0.18115942028985507,0.27932960893854747,25.823829666456163,77.93680129491982,4.458801847203256,6.522380619108574,23.64583396911621,79.1594352722168,22.728588104248047,55.23147964477539,55.70891189575195,88.90045928955078,,,,,,
Temperatura DAF,numeric,False,0.0,PSI-quantiles,0.2,1102,3570,0.18115942028985507,0.27932960893854747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Turbidez salida DAF,numeric,True,2.2048672311333313,PSI-quantiles,0.2,1102,3570,0.18115942028985507,0.27932960893854747,2.835621899436693,376.4448545089247,10.785949916654452,862.8566816940415,1.012731432914734,3.182870388031006,0.0,70.3125,0.0,4000.0,,,,,,
pH Clarificado DAF (Tk 80m3),numeric,True,inf,PSI-quantiles,0.2,1102,3570,0.18115942028985507,0.27932960893854747,7.830372947530175,5.817875560658987,0.2005675787675746,0.1906603446995989,7.852719783782959,5.858145475387573,6.71592903137207,8.088179588317871,5.4373555183410645,6.421223640441895,,,,,,
pH Ecualizador 2 (Tk 250m3),numeric,False,,PSI-quantiles,0.2,1102,0,0.18115942028985507,100.0,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,
pH coagulación entrada DAF,numeric,True,11.251540070959823,PSI-quantiles,0.2,1102,3570,0.18115942028985507,0.27932960893854747,7.202041769849843,6.746120842898927,0.13570076772847717,1.5416550787279348,7.2159647941589355,6.559967994689941,6.4029951095581055,7.351417541503906,5.405960559844971,14.0,,,,,,
pH entrada a Ecualizador 1,numeric,False,0.0,PSI-quantiles,0.2,1102,3570,0.18115942028985507,0.27932960893854747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
pH entrada a Ecualizador 2 (Tk 250m3),numeric,True,4.5577705612512,PSI-quantiles,0.2,1102,3570,0.18115942028985507,0.27932960893854747,4.7589722614322945,5.059807601495951,0.05963855308331426,0.1043615268314259,4.763889312744141,5.066695690155029,4.5983076095581055,4.879340171813965,3.4696178436279297,5.5143232345581055,,,,,,
pH salida a Parshall 02,numeric,True,0.7016652279445765,PSI-quantiles,0.2,1102,3570,0.18115942028985507,0.27932960893854747,7.160266142575148,6.1111940566064265,1.27900829562956,2.313146798696149,7.052662372589111,6.9453125,3.862557888031006,11.583622932434082,0.3990162014961242,11.713252067565918,,,,,,
pH salida y control Ecualizador 1,numeric,True,12.459983278741264,PSI-quantiles,0.2,1102,3570,0.18115942028985507,0.27932960893854747,6.628022058256741,7.569285426553892,2.2662861276985735,0.10074015077847844,6.474740028381348,7.578819274902344,2.1502604484558105,11.531944274902344,7.287326335906982,7.746528148651123,,,,,,
planta1_activa,categorical,True,4.405437658128626,PSI-categorical,0.2,1104,3580,0.0,0.0,,,,,,,,,,,1.0,2.0,False,1104.0,False,2379.0
