col,type,drift_detected,psi,method,threshold,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,ref_std,cur_std,ref_median,cur_median,ref_min,ref_max,cur_min,cur_max,ref_n_distinct,cur_n_distinct,ref_top,ref_top_freq,cur_top,cur_top_freq
Conductividad DAF,numeric,True,1.9207146647197766,PSI-quantiles,0.2,31575,3570,0.2873744710414956,0.27932960893854747,0.08336202293461493,0.928966146126306,0.2833387712767051,3.9945763913765706,0.0839120298624038,0.0954861119389534,0.0,21.048104744404554,0.0057870373129844,20.0,,,,,,
Flujo Parshall 01 entrada a Ecualizador 1,numeric,False,0.09069655456428824,PSI-quantiles,0.2,31580,3570,0.2715846649403145,0.27932960893854747,5.506199254161614,4.888165267191681,2.5458926864928655,2.5288718716380894,5.022135496139526,4.480902671813965,0.7048611044883728,23.23524284362793,0.8810763359069824,20.86892318725586,,,,,,
Flujo de envío a DAF,numeric,True,0.31084476388891813,PSI-quantiles,0.2,31583,3570,0.2621107812796059,0.27932960893854747,2.018912585778411,1.455138913636469,3.1324033222319834,2.6575908778923893,0.1302083283662796,0.1193576380610466,0.0,25.123263835906982,0.0,12.337239265441896,,,,,,
Nivel Clarificado DAF (Tk 80m3),numeric,True,2.1314393628801263,PSI-quantiles,0.2,31590,3570,0.24000505273795236,0.27932960893854747,40.875325952121834,32.29810319634328,28.1164179504775,29.053881421683375,35.67789840698242,18.024089813232425,0.0,90.0,0.0,90.0,,,,,,
Nivel Ecualizador 1 (Tk 30m3),numeric,True,6.724964984325773,PSI-quantiles,0.2,31587,3570,0.24947893639866103,0.27932960893854747,65.44421911401152,73.41855674765023,8.659510445220498,4.9735959745627945,60.82176017761231,71.84027862548828,49.25231552124024,80.0,64.58333587646484,80.0,,,,,,
Nivel Ecualizador 2 (Tk 250m3),numeric,True,1.4833810967578636,PSI-quantiles,0.2,31588,3570,0.24632097517842483,0.27932960893854747,71.48566887145316,77.93680129491982,15.848297626267513,6.522380619108574,76.08362197875977,79.1594352722168,22.62586784362793,89.03935241699219,55.70891189575195,88.90045928955078,,,,,,
Temperatura DAF,numeric,False,0.0,PSI-quantiles,0.2,31589,3570,0.24316301395818862,0.27932960893854747,0.001994365127101206,0.0,0.2641988107812767,0.0,0.0,0.0,0.0,42.0,0.0,0.0,,,,,,
Turbidez salida DAF,numeric,True,0.7706190420867185,PSI-quantiles,0.2,31593,3570,0.23053116907724375,0.27932960893854747,703.7927197377915,376.4448545089247,1301.8264426090407,862.8566816940415,21.629051208496094,3.182870388031006,0.0,4000.0,0.0,4000.0,,,,,,
pH Clarificado DAF (Tk 80m3),numeric,True,5.687027789863746,PSI-quantiles,0.2,31589,3570,0.24316301395818862,0.27932960893854747,6.309895044114425,5.817875560658987,0.6794038399328388,0.1906603446995989,6.010814666748047,5.858145475387573,5.294559955596924,23.95337820053101,5.4373555183410645,6.421223640441895,,,,,,
pH Ecualizador 2 (Tk 250m3),numeric,False,,PSI-quantiles,0.2,20720,0,34.56704351670562,100.0,0.0,,0.0,,0.0,,0.0,0.0,,,,,,,,
pH coagulación entrada DAF,numeric,True,4.4445991187501965,PSI-quantiles,0.2,31592,3570,0.23368913029747995,0.27932960893854747,6.7816906299028865,6.746120842898927,1.2953751899587758,1.5416550787279348,7.008354663848877,6.559967994689941,0.1397569477558136,23.90552663803101,5.405960559844971,14.0,,,,,,
pH entrada a Ecualizador 1,numeric,False,0.0,PSI-quantiles,0.2,31591,3570,0.23684709151771616,0.27932960893854747,0.0013294925769997785,0.0,0.1670881812509873,0.0,0.0,0.0,0.0,21.0,0.0,0.0,,,,,,
pH entrada a Ecualizador 2 (Tk 250m3),numeric,True,1.2713639322609063,PSI-quantiles,0.2,31590,3570,0.24000505273795236,0.27932960893854747,4.969927867046072,5.059807601495951,0.1744766075596405,0.1043615268314259,4.961371421813965,5.066695690155029,2.8250144720077515,23.469292640686035,3.4696178436279297,5.5143232345581055,,,,,,
pH salida a Parshall 02,numeric,True,0.8554272847175635,PSI-quantiles,0.2,31590,3570,0.24000505273795236,0.27932960893854747,7.084692871291338,6.1111940566064265,1.342405430291814,2.313146798696149,6.783275604248047,6.9453125,3.47265625,24.301504611969,0.3990162014961242,11.713252067565918,,,,,,
pH salida y control Ecualizador 1,numeric,True,9.59531115382246,PSI-quantiles,0.2,31588,3570,0.24632097517842483,0.27932960893854747,6.723656341208979,7.569285426553892,0.6776639553630889,0.10074015077847844,6.986848831176758,7.578819274902344,4.789670467376709,24.60872387886048,7.287326335906982,7.746528148651123,,,,,,
planta1_activa,categorical,False,0.0026610872656746155,PSI-categorical,0.2,31666,3580,0.0,0.0,,,,,,,,,,,2.0,2.0,False,20265.0,False,2379.0
