plant,strategy,metric,col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean
planta2,golden,ks,OD Reactor 2,categorical,1.6309667336598697,0.2,ks,True,,,,,,
planta2,golden,mannwhitney,Flujo Afluente PTAR,numeric,0.1084740191876016,0.55,mannwhitney,False,,,,,,
planta2,golden,mannwhitney,Flujo Aire Reactor 2,numeric,0.1425829129151333,0.55,mannwhitney,False,,,,,,
planta2,golden,mannwhitney,Flujo Aire Reactor 3,numeric,0.3312891620188666,0.55,mannwhitney,False,,,,,,
planta2,golden,mannwhitney,Flujo Alimentación Digestor 1,numeric,0.2646436320607258,0.55,mannwhitney,False,,,,,,
planta2,golden,mannwhitney,Flujo Alimentación Digestor 2,numeric,0.8567083333333333,0.55,mannwhitney,True,,,,,,
planta2,golden,mannwhitney,Flujo Alimentación Digestor 3,numeric,0.4867623311802701,0.55,mannwhitney,False,,,,,,
planta2,golden,mannwhitney,Flujo Cámara de contacto 1,numeric,0.2620821453819442,0.55,mannwhitney,False,,,,,,
planta2,golden,mannwhitney,Flujo Cámara de contacto 2,numeric,0.3826997782039437,0.55,mannwhitney,False,,,,,,
planta2,golden,mannwhitney,Flujo Salida de Lodo Sedimentador Secundario 3,numeric,1.0,0.55,mannwhitney,True,,,,,,
planta2,golden,mannwhitney,Nivel Pozo WAS,numeric,0.9930192921380911,0.55,mannwhitney,True,,,,,,
planta2,golden,mannwhitney,OD Reactor 1,numeric,0.0,0.55,mannwhitney,False,,,,,,
planta2,golden,mannwhitney,OD Reactor 2,categorical,1.6309667336598697,0.2,mannwhitney,True,,,,,,
planta2,golden,psi,Flujo Afluente PTAR,numeric,3.71260868348843,0.2,psi,True,,,,,,
planta2,golden,psi,Flujo Aire Reactor 2,numeric,2.519008142651576,0.2,psi,True,,,,,,
planta2,golden,psi,Flujo Aire Reactor 3,numeric,1.1813997772398863,0.2,psi,True,,,,,,
planta2,golden,psi,Flujo Alimentación Digestor 1,numeric,2.6021402712389428,0.2,psi,True,,,,,,
planta2,golden,psi,Flujo Alimentación Digestor 2,numeric,12.416428250955844,0.2,psi,True,,,,,,
planta2,golden,psi,Flujo Alimentación Digestor 3,numeric,1.50016371677342,0.2,psi,True,,,,,,
planta2,golden,psi,Flujo Cámara de contacto 1,numeric,0.4779144614204242,0.2,psi,True,,,,,,
planta2,golden,psi,Flujo Cámara de contacto 2,numeric,1.6413126853550213,0.2,psi,True,,,,,,
planta2,golden,psi,Flujo Salida de Lodo Sedimentador Secundario 3,numeric,inf,0.2,psi,True,,,,,,
planta2,golden,psi,Nivel Pozo WAS,numeric,0.0,0.2,psi,False,,,,,,
planta2,golden,psi,OD Reactor 1,numeric,0.0,0.2,psi,False,,,,,,
planta2,golden,psi,OD Reactor 2,categorical,1.6309667336598697,0.2,psi,True,,,,,,
planta2,golden,wasserstein,Flujo Afluente PTAR,numeric,1391.7537974855804,315.5394291888116,wasserstein,True,,,,,,
planta2,golden,wasserstein,Flujo Aire Reactor 2,numeric,702.8295387154448,24.599602360775886,wasserstein,True,,,,,,
planta2,golden,wasserstein,Flujo Aire Reactor 3,numeric,856.3321704269855,398.763477642335,wasserstein,True,,,,,,
planta2,golden,wasserstein,Flujo Alimentación Digestor 1,numeric,6.915543860056417,3.240652955843627,wasserstein,True,,,,,,
planta2,golden,wasserstein,Flujo Alimentación Digestor 2,numeric,9.347332732061153,2.0490922065856934,wasserstein,True,,,,,,
planta2,golden,wasserstein,Flujo Alimentación Digestor 3,numeric,4.656839978082558,1.066646196174413,wasserstein,True,,,,,,
planta2,golden,wasserstein,Flujo Cámara de contacto 1,numeric,321.73553515145284,106.77095396174084,wasserstein,True,,,,,,
planta2,golden,wasserstein,Flujo Cámara de contacto 2,numeric,273.1517415921716,101.71684637226768,wasserstein,True,,,,,,
planta2,golden,wasserstein,Flujo Salida de Lodo Sedimentador Secundario 3,numeric,5.366626327236004,0.4245191051699918,wasserstein,True,,,,,,
planta2,golden,wasserstein,Nivel Pozo WAS,numeric,0.9911813325977088,0.0830414746802743,wasserstein,True,,,,,,
planta2,golden,wasserstein,OD Reactor 1,numeric,11.112186046511628,2.319180260577507e-16,wasserstein,True,,,,,,
planta2,golden,wasserstein,OD Reactor 2,categorical,1.6309667336598697,0.2,wasserstein,True,,,,,,
planta2,seasonal,ks,Flujo Afluente PTAR,numeric,0.2721108742004264,0.15,ks,True,,,,,,
planta2,seasonal,ks,Flujo Aire Reactor 2,numeric,0.6144862570770804,0.15,ks,True,,,,,,
planta2,seasonal,ks,Flujo Aire Reactor 3,numeric,0.131169303509729,0.15,ks,False,,,,,,
planta2,seasonal,ks,Flujo Alimentación Digestor 1,numeric,0.2275006218009975,0.15,ks,True,,,,,,
planta2,seasonal,ks,Flujo Alimentación Digestor 2,numeric,0.1221532091097308,0.15,ks,False,,,,,,
planta2,seasonal,ks,Flujo Alimentación Digestor 3,numeric,0.122412704252123,0.15,ks,False,,,,,,
planta2,seasonal,ks,Flujo Cámara de contacto 1,numeric,0.2704280155642023,0.15,ks,True,,,,,,
planta2,seasonal,ks,Flujo Cámara de contacto 2,numeric,0.2699029126213592,0.15,ks,True,,,,,,
planta2,seasonal,ks,Flujo Salida de Lodo Sedimentador Secundario 3,numeric,0.8185328185328186,0.15,ks,True,,,,,,
planta2,seasonal,ks,Nivel Pozo WAS,numeric,0.728030283826375,0.15,ks,True,,,,,,
planta2,seasonal,ks,OD Reactor 1,numeric,0.107235142118863,0.15,ks,False,,,,,,
planta2,seasonal,mannwhitney,Flujo Afluente PTAR,numeric,0.4832316439779126,0.55,mannwhitney,False,,,,,,
planta2,seasonal,mannwhitney,Flujo Aire Reactor 2,numeric,0.2171332746087338,0.55,mannwhitney,False,,,,,,
planta2,seasonal,mannwhitney,Flujo Aire Reactor 3,numeric,0.4581963766139298,0.55,mannwhitney,False,,,,,,
planta2,seasonal,mannwhitney,Flujo Alimentación Digestor 1,numeric,0.4844860651123823,0.55,mannwhitney,False,,,,,,
planta2,seasonal,mannwhitney,Flujo Alimentación Digestor 2,numeric,0.5664596273291925,0.55,mannwhitney,True,,,,,,
planta2,seasonal,mannwhitney,Flujo Alimentación Digestor 3,numeric,0.5158652932340048,0.55,mannwhitney,False,,,,,,
planta2,seasonal,mannwhitney,Flujo Cámara de contacto 1,numeric,0.5149521363869711,0.55,mannwhitney,False,,,,,,
planta2,seasonal,mannwhitney,Flujo Cámara de contacto 2,numeric,0.5532229049235378,0.55,mannwhitney,True,,,,,,
planta2,seasonal,mannwhitney,Flujo Salida de Lodo Sedimentador Secundario 3,numeric,0.8189733300989845,0.55,mannwhitney,True,,,,,,
planta2,seasonal,mannwhitney,Nivel Pozo WAS,numeric,0.8447069493382454,0.55,mannwhitney,True,,,,,,
planta2,seasonal,mannwhitney,OD Reactor 1,numeric,0.4683462532299741,0.55,mannwhitney,False,,,,,,
planta2,seasonal,psi,Flujo Afluente PTAR,numeric,3.1633841867972725,0.2,psi,True,,,,,,
planta2,seasonal,psi,Flujo Aire Reactor 2,numeric,1.7464124818165256,0.2,psi,True,,,,,,
planta2,seasonal,psi,Flujo Aire Reactor 3,numeric,0.2235425422904011,0.2,psi,True,,,,,,
planta2,seasonal,psi,Flujo Alimentación Digestor 1,numeric,0.5405176750768187,0.2,psi,True,,,,,,
