col,type,drift_detected,psi,method,threshold,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,ref_std,cur_std,ref_median,cur_median,ref_min,ref_max,cur_min,cur_max,ref_n_distinct,cur_n_distinct,ref_top,ref_top_freq,cur_top,cur_top_freq
Flujo Afluente PTAR,numeric,True,3.1633841867972725,PSI-quantiles,0.2,525,3484,5.745062836624776,4.860731840524304,3289.095942227803,3225.804585821456,881.1832214522811,740.1192355751891,2802.099853515625,3393.25,2381.39990234375,5002.89990234375,1719.199951171875,4430.2998046875,,,,,,
Flujo Aire Reactor 2,numeric,True,1.7464124818165256,PSI-quantiles,0.2,499,3226,10.412926391382406,11.90606226105953,239.11723446893788,739.8946321554039,87.03795458911414,604.1210452194447,227.0,645.25,-2.0,417.0,-2.0,2379.0,,,,,,
Flujo Aire Reactor 3,numeric,True,0.2235425422904011,PSI-quantiles,0.2,520,3384,6.642728904847396,7.591480065537957,7502.153525641026,7627.777482269504,2350.918687882979,2260.95759159509,8232.0,8240.5,2.0,8932.0,0.0,9005.0,,,,,,
Flujo Alimentación Digestor 1,numeric,True,0.5405176750768187,PSI-quantiles,0.2,196,1559,64.81149012567326,57.42763517203714,8.80544641580184,9.795906966871739,6.648553443786464,6.579354447529174,14.099250078201294,14.361000061035156,0.003000000026077,15.878999710083008,-0.114000003086403,15.083999633789062,,,,,,
Flujo Alimentación Digestor 2,numeric,False,0.1651529591475076,PSI-quantiles,0.2,46,525,91.74147217235189,85.66357181867832,0.006586956599241331,0.0044047619708414264,0.008645682608429591,0.018698937760942523,0.003000000026077,0.003000000026077,0.003000000026077,0.0480000011157244,-0.19200000166893,0.2040000006090849,,,,,,
Flujo Alimentación Digestor 3,numeric,True,0.24334060111665431,PSI-quantiles,0.2,498,3275,10.59245960502693,10.56799563080284,4.753353566139528,4.957220571843371,6.560230237321696,6.556756085827841,0.0732000023126602,0.0732000023126602,0.0,16.21380043029785,0.0,16.433399200439453,,,,,,
Flujo Cámara de contacto 1,numeric,True,3.4651706885310407,PSI-quantiles,0.2,514,3479,7.719928186714542,4.997269251774986,2012.1939047728067,1859.4436973373677,465.2958090970121,314.8314897534576,1750.75,1939.5,1542.0,3021.0,890.5,2424.0,,,,,,
Flujo Cámara de contacto 2,numeric,True,2.9936762813892894,PSI-quantiles,0.2,515,3481,7.5403949730700175,4.9426542872747135,1981.0844694168438,1789.539882932782,488.9657135912899,343.7356762553063,1732.0,1828.0,1449.5,3015.0,824.0,2414.0,,,,,,
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,True,11.708688239047715,PSI-quantiles,0.2,518,3438,7.001795332136446,6.116876024030585,137.45854237825253,120.05116218565414,12.986600749485563,1.5796647411476836,142.5,120.0,54.04999923706055,149.39999389648438,78.30000305175781,124.9000015258789,,,,,,
Nivel Pozo WAS,numeric,True,5.894247516209219,PSI-quantiles,0.2,515,3447,7.5403949730700175,5.871108683779355,2.9992001884577726,2.3151784137535483,0.7866029196827731,0.12906580540743168,2.6796000003814697,2.322000026702881,2.0076000690460205,4.641600131988525,2.0543999671936035,4.475399971008301,,,,,,
OD Reactor 2,categorical,False,0.0,PSI-categorical,0.2,557,3662,0.0,0.0,,,,,,,,,,,1.0,1.0,True,557.0,True,3662.0
