date_time,Flujo_Cámara_de_Contacto_2_ajustada,Flujo_Afluente_PTAR_ajustada
2024-08-12 17:07:00,,1.0
2024-08-12 17:08:00,2359.406918090126,4222.7444096363
2024-08-12 17:09:00,2351.344996135687,4221.906003210793
2024-08-12 17:10:00,2363.912295929002,4213.431040087061
2024-08-12 17:12:00,2375.681748162296,4209.2120830969725
2024-08-12 17:13:00,2371.248062302701,4216.791180539738
2024-08-12 17:14:00,2360.693584167568,4244.56595173996
2024-08-12 17:15:00,2364.8032284092455,4233.929745714985
2024-08-12 17:17:00,2369.057495283372,4211.875912233964
2024-08-12 17:18:00,2359.187966399153,4261.661276555223
2024-08-12 17:19:00,2353.94960302848,4249.765392409508
2024-08-12 17:20:00,2352.5244004196784,4220.164041779891
2024-08-12 17:21:00,2349.3001629930245,4211.788932643815
2024-08-12 17:23:00,2348.2251715512543,4218.165147569354
2024-08-12 17:24:00,2348.3470502248806,4197.021210176966
2024-08-12 17:26:00,2351.3101405595175,4188.473783302901
2024-08-12 17:27:00,2351.205878448926,4195.879029055318
2024-08-12 17:28:00,2343.5364415072536,4113.889791455964
2024-08-12 17:29:00,2347.5724581925792,4238.762853791868
2024-08-12 17:30:00,2352.2789849918568,4156.710706862913
2024-08-12 17:32:00,2350.2258082205553,4295.013395727863
2024-08-12 17:33:00,2343.3352661143117,4135.96219107117
2024-08-12 17:34:00,2336.564744218173,4150.776693673005
2024-08-12 17:35:00,2337.374002108566,4145.595049101329
2024-08-12 17:36:00,2338.841744978724,4186.323500724632
2024-08-12 17:37:00,2335.700686363421,4167.717391358617
2024-08-12 17:38:00,2334.7123683262594,4074.4268104481157
2024-08-12 17:39:00,2335.51981209836,4159.576222414798
2024-08-12 17:40:00,2331.442168083291,4172.049245056396
2024-08-12 17:41:00,2329.045007311854,4139.000163143776
2024-08-12 17:42:00,2329.9338844855615,4166.190239666461
2024-08-12 17:43:00,2328.7037516862233,4163.68713006337
2024-08-12 17:44:00,2332.749048462047,4192.479068395177
2024-08-12 17:45:00,2336.4001515983396,4175.690761455804
2024-08-12 17:46:00,2341.4894536679026,4178.911791613941
2024-08-12 17:47:00,2343.4659754797185,4142.634897082826
2024-08-12 17:48:00,2342.607583962657,4100.940221104994
2024-08-12 17:49:00,2344.7926634463292,4130.322463791413
2024-08-12 17:50:00,2345.6606609512487,4137.480625189835
2024-08-12 17:51:00,2341.174159568093,4148.536072261621
2024-08-12 17:52:00,2331.107504524743,4068.1789809778716
2024-08-12 17:53:00,2329.7115787825314,4054.6147115165522
2024-08-12 17:54:00,2335.382389997733,4008.3810106863593
2024-08-12 17:55:00,2339.133086851168,4006.9648722373513
2024-08-12 17:56:00,2339.9244811780272,4068.9043016040932
2024-08-12 17:58:00,2339.506732879799,4032.094922652315
2024-08-12 17:59:00,2333.703854602583,4082.815484914165
2024-08-12 18:00:00,2337.7605009799463,4032.213864053716
2024-08-12 18:01:00,2339.791535544231,4016.2774955627424
2024-08-12 18:02:00,2333.9547901492574,4044.9203675851654
2024-08-12 18:03:00,2327.468991954083,4129.229350264385
2024-08-12 18:04:00,2321.2243508213005,4085.9898359247013
2024-08-12 18:05:00,2322.8089991990673,4027.2168870431783
2024-08-12 18:06:00,2328.943962879996,4050.9959439507925
2024-08-12 18:07:00,2332.1099961692034,4064.7514253494373
2024-08-12 18:08:00,2336.482897691568,4060.0763956298665
2024-08-12 18:09:00,2343.61550988589,4004.8252226745653
2024-08-12 18:10:00,2354.571621696915,4011.615593559696
2024-08-12 18:28:00,,4013.249018050804
2024-08-12 18:43:00,2357.771551766885,3990.419884091731
2024-08-12 18:44:00,2344.6582982526993,3855.14082855481
2024-08-12 18:54:00,,3802.583284562342
2024-08-12 18:55:00,2326.794385032048,3441.128935528757
2024-08-12 19:00:00,2312.8692483856603,3342.283389639762
2024-08-12 19:12:00,2310.1431078983437,3300.6500430025676
2024-08-12 19:16:00,2293.538885943176,3465.1056488300624
2024-08-12 19:29:00,2298.762148832895,3618.8739744480727
2024-08-12 19:31:00,2350.1056905331116,3457.8068783638464
2024-08-12 19:32:00,2392.304071971846,3474.4650078456193
2024-08-12 19:44:00,2407.076062151676,3523.7854297429985
2024-08-12 20:51:00,,3482.7058510281277
2024-08-12 20:52:00,2423.2549835341424,3521.6079575814388
2024-08-12 20:53:00,2447.256667613518,3527.1867527730533
2024-08-12 20:54:00,2471.90964582828,3534.871869293548
2024-08-12 20:55:00,2475.337658803268,3552.341196101225
2024-08-12 20:56:00,2460.339901460548,3464.0876840769256
2024-08-12 20:57:00,2448.868106808022,3443.5246145569695
2024-08-12 20:58:00,2458.843132395557,3434.382630382096
2024-08-12 20:59:00,2472.376653738423,3484.4285521230067
2024-08-12 21:00:00,2481.961966283702,3518.1171309839087
2024-08-12 21:01:00,2482.3526394565088,3507.0341911290907
2024-08-12 21:02:00,2479.267026894882,3471.0339660252976
2024-08-12 21:03:00,2482.4487471715543,3454.9425939198622
2024-08-12 21:04:00,2481.565222727859,3449.600394227848
2024-08-12 21:05:00,,3415.4263173441796
2024-08-12 21:06:00,2471.0149722244655,3396.947268826998
2024-08-12 21:07:00,2472.8491026866036,3514.045926222942
2024-08-12 21:08:00,2478.1516372587143,3571.70974101554
2024-08-12 21:09:00,2483.309242094669,3617.9508117580954
2024-08-12 21:10:00,2484.5236179974836,3551.1388922384954
2024-08-12 21:11:00,2472.8526620489383,3535.7385975363914
2024-08-12 21:12:00,2457.545736607851,3503.0934294734107
2024-08-12 21:13:00,2452.750163153698,3507.4972165856516
2024-08-12 21:14:00,2457.4674129638847,3423.8686530608816
2024-08-12 21:15:00,2471.6210392841144,3545.249230384742
2024-08-12 21:16:00,2487.667012855653,3523.274652061943
2024-08-12 21:17:00,2493.0763090359737,3582.49145739619
2024-08-12 21:18:00,2491.0574342626333,3555.8922923337686
2024-08-12 21:19:00,2487.9650812020805,3479.8792233550166
2024-08-12 21:20:00,2490.252112744238,3395.045913052568
2024-08-12 21:21:00,2494.726054641999,3354.4890754227886
