col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric_name
Conductividad DAF,numeric,0.3342412092311631,0.15,ks,True,,,,,,,planta1,seasonal,ks
Flujo Parshall 01 entrada a Ecualizador 1,numeric,0.14006504357815572,0.15,ks,False,,,,,,,planta1,seasonal,ks
Flujo de envío a DAF,numeric,0.5506740217050019,0.15,ks,True,,,,,,,planta1,seasonal,ks
Nivel Clarificado DAF (Tk 80m3),numeric,0.6127459223137717,0.15,ks,True,,,,,,,planta1,seasonal,ks
Nivel Ecualizador 1 (Tk 30m3),numeric,0.6670140072111915,0.15,ks,True,,,,,,,planta1,seasonal,ks
Nivel Ecualizador 2 (Tk 250m3),numeric,0.7610619469026548,0.15,ks,True,,,,,,,planta1,seasonal,ks
Turbidez salida DAF,numeric,0.6268706911047587,0.15,ks,True,,,,,,,planta1,seasonal,ks
pH Clarificado DAF (Tk 80m3),numeric,0.7610619469026548,0.15,ks,True,,,,,,,planta1,seasonal,ks
pH coagulación entrada DAF,numeric,0.9702370943332773,0.15,ks,True,,,,,,,planta1,seasonal,ks
pH entrada a Ecualizador 2 (Tk 250m3),numeric,0.6355264273947897,0.15,ks,True,,,,,,,planta1,seasonal,ks
pH salida a Parshall 02,numeric,0.5450904077463018,0.15,ks,True,,,,,,,planta1,seasonal,ks
pH salida y control Ecualizador 1,numeric,0.39601769911504425,0.15,ks,True,,,,,,,planta1,seasonal,ks
planta1_activa,categorical,8.54996236386657,0.2,ks,True,,,,,,,planta1,seasonal,ks
