col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean,plant,strategy,metric_name
Flujo Afluente PTAR,numeric,461.24504450204563,440.5916107261406,wasserstein,True,,,,,,,planta2,seasonal,wasserstein
Flujo Aire Reactor 2,numeric,439.1439139781219,43.51897729455707,wasserstein,True,,,,,,,planta2,seasonal,wasserstein
Flujo Aire Reactor 3,numeric,123.07363291470433,1175.4593439414894,wasserstein,False,,,,,,,planta2,seasonal,wasserstein
Flujo Alimentación Digestor 1,numeric,0.9989784007624412,3.324276721893232,wasserstein,False,,,,,,,planta2,seasonal,wasserstein
Flujo Alimentación Digestor 2,numeric,0.004200436619212495,0.004322841304214796,wasserstein,False,,,,,,,planta2,seasonal,wasserstein
Flujo Alimentación Digestor 3,numeric,0.5183347540008122,3.280115118660848,wasserstein,False,,,,,,,planta2,seasonal,wasserstein
Flujo Cámara de contacto 1,numeric,228.94117102514753,232.64790454850612,wasserstein,False,,,,,,,planta2,seasonal,wasserstein
Flujo Cámara de contacto 2,numeric,220.0125511006553,244.48285679564492,wasserstein,False,,,,,,,planta2,seasonal,wasserstein
Flujo Salida de Lodo Sedimentador Secundario 3,numeric,19.572671677583752,6.493300374742781,wasserstein,True,,,,,,,planta2,seasonal,wasserstein
Nivel Pozo WAS,numeric,0.7434032691556587,0.39330145984138654,wasserstein,True,,,,,,,planta2,seasonal,wasserstein
OD Reactor 1,numeric,0.7058080808080809,1.9159205708971674,wasserstein,False,,,,,,,planta2,seasonal,wasserstein
