plant,strategy,avg_consensus,strong_consensus_at_least3_pct
planta1,decay,2.3333333333333335,53.333333333333336
planta1,golden,3.3076923076923075,92.3076923076923
planta1,seasonal,3.076923076923077,92.3076923076923
planta2,decay,1.4545454545454546,27.27272727272727
planta2,golden,2.2857142857142856,28.57142857142857
planta2,seasonal,2.0,36.36363636363637
planta3,decay,2.0,60.0
planta3,golden,2.0,60.0
planta3,seasonal,1.8,40.0
