plant,strategy,metric,col,score,pvalue,drifted
planta2,decay,ks,Flujo Cámara de contacto 1,0.19564047078936198,3.052522409636396e-106,1
planta2,decay,mannwhitney,Flujo Cámara de contacto 1,0.5225705756418583,1.1301393590928823e-05,1
planta2,decay,psi,Flujo Cámara de contacto 1,2.4337271461118997,,1
planta2,decay,wasserstein,Flujo Cámara de contacto 1,149.25781026728012,,0
planta2,decay,ks,Flujo Salida de Lodo Sedimentador Secundario 3,0.6460170473501134,0.0,1
planta2,decay,mannwhitney,Flujo Salida de Lodo Sedimentador Secundario 3,0.8210901869468942,0.0,1
planta2,decay,psi,Flujo Salida de Lodo Sedimentador Secundario 3,11.866415384846693,,1
planta2,decay,wasserstein,Flujo Salida de Lodo Sedimentador Secundario 3,14.995733653739387,,0
planta2,decay,ks,Flujo Aire Reactor 2,0.626772734509613,0.0,1
planta2,decay,mannwhitney,Flujo Aire Reactor 2,0.24540770387328203,0.0,1
planta2,decay,psi,Flujo Aire Reactor 2,2.761016356477788,,1
planta2,decay,wasserstein,Flujo Aire Reactor 2,487.4100924223856,,0
planta2,decay,ks,Nivel Pozo WAS,0.6921510638115762,0.0,1
planta2,decay,mannwhitney,Nivel Pozo WAS,0.8340368601590072,0.0,1
planta2,decay,psi,Nivel Pozo WAS,5.399703167602304,,1
planta2,decay,wasserstein,Nivel Pozo WAS,0.2863965575832849,,0
planta2,decay,ks,Flujo Afluente PTAR,0.11828770344058355,7.355131458426058e-39,1
planta2,decay,mannwhitney,Flujo Afluente PTAR,0.47304139171767146,1.5955994744383738e-07,1
planta2,decay,psi,Flujo Afluente PTAR,2.5579850289119843,,1
planta2,decay,wasserstein,Flujo Afluente PTAR,224.2770959277558,,0
planta2,decay,ks,Flujo Alimentación Digestor 1,0.06774089849112475,4.291473898266409e-06,1
planta2,decay,mannwhitney,Flujo Alimentación Digestor 1,0.5258076533803321,0.0007602240716683066,1
planta2,decay,psi,Flujo Alimentación Digestor 1,0.11313615757610498,,0
planta2,decay,wasserstein,Flujo Alimentación Digestor 1,0.09859175277528201,,0
planta2,decay,ks,Flujo Alimentación Digestor 2,0.01787506308433199,0.9972502222971824,0
planta2,decay,mannwhitney,Flujo Alimentación Digestor 2,0.4917662757576535,0.21406950562093896,0
planta2,decay,psi,Flujo Alimentación Digestor 2,1.3180706902944405e-05,,0
planta2,decay,wasserstein,Flujo Alimentación Digestor 2,0.0021156404510073532,,0
planta2,decay,ks,Flujo Alimentación Digestor 3,0.03635390552378803,0.0007572601514058204,1
planta2,decay,mannwhitney,Flujo Alimentación Digestor 3,0.49568172106873093,0.4119656872094831,0
planta2,decay,psi,Flujo Alimentación Digestor 3,0.009418390737809507,,0
planta2,decay,wasserstein,Flujo Alimentación Digestor 3,0.11841346578580911,,0
planta2,decay,ks,Flujo Aire Reactor 1,,,0
planta2,decay,psi,Flujo Aire Reactor 1,,,0
planta2,decay,wasserstein,Flujo Aire Reactor 1,,,0
planta2,decay,ks,Flujo Aire Reactor 3,0.11849781986899255,4.967154184093963e-38,1
planta2,decay,mannwhitney,Flujo Aire Reactor 3,0.49574980947023817,0.4145888050913231,0
planta2,decay,psi,Flujo Aire Reactor 3,0.219881189587111,,0
planta2,decay,wasserstein,Flujo Aire Reactor 3,120.1938751021242,,0
planta2,decay,ks,OD Reactor 1,0.20733196425598047,0.046337139977586414,1
planta2,decay,mannwhitney,OD Reactor 1,0.40518676805239495,0.023421603288364422,1
planta2,decay,psi,OD Reactor 1,0.18970379159207976,,0
planta2,decay,wasserstein,OD Reactor 1,1.284053308823529,,0
planta2,decay,ks,Flujo Cámara de contacto 2,0.1924031876521627,8.989767456371267e-103,1
planta2,decay,mannwhitney,Flujo Cámara de contacto 2,0.5387085618451082,5.0029227179342304e-14,1
planta2,decay,psi,Flujo Cámara de contacto 2,2.367277713937414,,1
planta2,decay,wasserstein,Flujo Cámara de contacto 2,147.903493122961,,0
planta2,golden,ks,Flujo Cámara de contacto 1,1.0,0.0005747126436781608,1
planta2,golden,psi,Flujo Cámara de contacto 1,,,0
planta2,golden,wasserstein,Flujo Cámara de contacto 1,670.2994764536813,,0
planta2,golden,ks,Flujo Salida de Lodo Sedimentador Secundario 3,1.0,3.3811884201058955e-07,1
planta2,golden,psi,Flujo Salida de Lodo Sedimentador Secundario 3,,,0
planta2,golden,wasserstein,Flujo Salida de Lodo Sedimentador Secundario 3,9.380713216132586,,0
planta2,golden,ks,Flujo Aire Reactor 2,0.6001239925604464,0.32024787755420225,0
planta2,golden,psi,Flujo Aire Reactor 2,26.220000282854535,,1
planta2,golden,wasserstein,Flujo Aire Reactor 2,507.4608072916667,,0
planta2,golden,ks,Nivel Pozo WAS,0.997098926602843,2.2199514436075128e-05,1
planta2,golden,psi,Nivel Pozo WAS,,,0
planta2,golden,wasserstein,Nivel Pozo WAS,0.8646333653450354,,0
planta2,golden,ks,Flujo Afluente PTAR,0.8128587830080367,0.07030573616458011,0
planta2,golden,psi,Flujo Afluente PTAR,18.07235712473655,,1
planta2,golden,wasserstein,Flujo Afluente PTAR,816.8449384558435,,0
planta2,golden,ks,Flujo Alimentación Digestor 1,0.7947402180885182,0.4115384615384614,0
planta2,golden,psi,Flujo Alimentación Digestor 1,,,0
planta2,golden,wasserstein,Flujo Alimentación Digestor 1,9.789062250587614,,0
planta2,golden,ks,Flujo Alimentación Digestor 2,0.9904761904761905,0.0003030281166802547,1
planta2,golden,psi,Flujo Alimentación Digestor 2,,,0
planta2,golden,wasserstein,Flujo Alimentación Digestor 2,0.0036699219643125157,,0
planta2,golden,ks,Flujo Alimentación Digestor 3,0.46625954198473285,0.6264608141324652,0
planta2,golden,psi,Flujo Alimentación Digestor 3,12.74868956524346,,1
planta2,golden,wasserstein,Flujo Alimentación Digestor 3,4.934560426944214,,0
planta2,golden,ks,Flujo Aire Reactor 1,,,0
planta2,golden,psi,Flujo Aire Reactor 1,,,0
planta2,golden,wasserstein,Flujo Aire Reactor 1,,,0
planta2,golden,ks,Flujo Aire Reactor 3,,,0
planta2,golden,psi,Flujo Aire Reactor 3,,,0
planta2,golden,wasserstein,Flujo Aire Reactor 3,,,0
planta2,golden,ks,OD Reactor 1,1.0,0.00202020202020202,1
planta2,golden,psi,OD Reactor 1,,,0
