plant,strategy,metric,n_cols,n_drifted,score_mean,drift_rate_pct
planta2,decay,ks,12,10,0.26537016897978444,83.33333333333333
planta2,decay,mannwhitney,11,8,0.5317315916284701,72.72727272727273
planta2,decay,psi,12,6,2.5380252280080082,50.0
planta2,decay,wasserstein,12,0,104.16615192924228,0.0
planta2,golden,ks,12,6,0.8660695831405054,50.0
planta2,golden,psi,12,3,19.013682324278182,25.0
planta2,golden,wasserstein,12,0,264.1799928791082,0.0
planta2,seasonal,ks,12,9,0.4037669308571423,75.0
planta2,seasonal,mannwhitney,11,9,0.6343249970657943,81.81818181818181
planta2,seasonal,psi,12,9,3.99617481636307,75.0
planta2,seasonal,wasserstein,12,0,317.6923583847517,0.0
